species,time scale,variation type,value,group
all,first seed drop,interspecific,44.5,yr and sp
all,first seed drop,interspecific,46.4,sp
all,first seed drop,interspecific,37.1,ungrouped
PB,first seed drop,intraspecific,21.06,ungrouped
PP,first seed drop,intraspecific,16.83,ungrouped
PE,first seed drop,intraspecific,17.63,ungrouped
PF,first seed drop,intraspecific,17.11,ungrouped
PM,first seed drop,intraspecific,19.22,ungrouped
RM,first seed drop,intraspecific,17.08,ungrouped
all rep,first seed drop,intraspecific,16.83,ungrouped
all,second seed drop,interspecific,37.8,ungrouped
all,second seed drop,interspecific,43.49,yr and sp
all,second seed drop,interspecific,45.33,sp
PB,first seed drop,intraspecific,12.01,yr
PP,first seed drop,intraspecific,10.13,yr
PE,first seed drop,intraspecific,11.73,yr
PF,first seed drop,intraspecific,15.21,yr
PM,first seed drop,intraspecific,13.2,yr
RM,first seed drop,intraspecific,17.47,yr
all rep,first seed drop,intraspecific,12.01,yr
PB,second seed drop,intraspecific,18.15,ungrouped
PP,second seed drop,intraspecific,16.47,ungrouped
PE,second seed drop,intraspecific,20.92,ungrouped
PF,second seed drop,intraspecific,18.2,ungrouped
PM,second seed drop,intraspecific,18.2,ungrouped
RM,second seed drop,intraspecific,26.98,ungrouped
all rep,second seed drop,intraspecific,18.15,ungrouped
PB,second seed drop,intraspecific,11.49,yr
PP,second seed drop,intraspecific,6.52,yr
PE,second seed drop,intraspecific,13.35,yr
PF,second seed drop,intraspecific,13.4,yr
PM,second seed drop,intraspecific,9.06,yr
RM,second seed drop,intraspecific,20.44,yr
all rep,second seed drop,intraspecific,11.5,yr
all,annual,interspecific,43.96,yr and sp
all,annual,interspecific,47.37,sp
all,annual,interspecific,40.79,ungrouped
PB,annual,intraspecific,21.08,ungrouped
PP,annual,intraspecific,18.46,ungrouped
PE,annual,intraspecific,17.86,ungrouped
PF,annual,intraspecific,18.25,ungrouped
PM,annual,intraspecific,18.29,ungrouped
RM,annual,intraspecific,20.27,ungrouped
all rep,annual,intraspecific,21.08,ungrouped
PB,annual,intraspecific,9.6,yr
PP,annual,intraspecific,7,yr
PE,annual,intraspecific,6.8,yr
PF,annual,intraspecific,8.4,yr
PM,annual,intraspecific,13.4,yr
RM,annual,intraspecific,11.04,yr
all rep,annual,intraspecific,9.6,yr
